DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y_GE14,99,99,2023,72.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y_GE75,99,99,2023,77.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y14-17,99,99,2023,70.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y18-19,99,99,2023,71.4,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y20-24,99,99,2023,72.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y25-34,99,99,2023,72.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y35-44,99,99,2023,72.5,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y45-54,99,99,2023,73.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y55-59,99,99,2023,69.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y60-64,99,99,2023,67.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,1,Y65-74,99,99,2023,71,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y_GE14,99,99,2023,75.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y_GE75,99,99,2023,80.4,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y14-17,99,99,2023,77.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y18-19,99,99,2023,82.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y20-24,99,99,2023,74.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y25-34,99,99,2023,74.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y35-44,99,99,2023,73.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y45-54,99,99,2023,75.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y55-59,99,99,2023,72.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y60-64,99,99,2023,72.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,2,Y65-74,99,99,2023,75.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y_GE14,99,99,2023,74,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y_GE75,99,99,2023,79.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y14-17,99,99,2023,74.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y18-19,99,99,2023,76.9,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y20-24,99,99,2023,73.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y25-34,99,99,2023,73.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y35-44,99,99,2023,73.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y45-54,99,99,2023,74.5,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y55-59,99,99,2023,71.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y60-64,99,99,2023,70.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,HSC,9,Y65-74,99,99,2023,73.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y_GE14,99,99,2023,18132,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y_GE75,99,99,2023,2236,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y14-17,99,99,2023,857,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y18-19,99,99,2023,416,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y20-24,99,99,2023,1080,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y25-34,99,99,2023,2286,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y35-44,99,99,2023,2561,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y45-54,99,99,2023,3339,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y55-59,99,99,2023,1630,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y60-64,99,99,2023,1362,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,1,Y65-74,99,99,2023,2365,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,2,Y_GE14,99,99,2023,20158,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,2,Y_GE75,99,99,2023,3403,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,2,Y14-17,99,99,2023,822,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,2,Y18-19,99,99,2023,499,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_NOTRUST,THV,2,Y20-24,99,99,2023,1046,,,,,,,,,,,,,
